fid,place,wikipedia,wikidata,name,present,dimensions,interpreted
"510",village,it:Lido di Spina,Q612522,Lido di Spina,,,
"511",village,it:San Martino in Argine,Q16268732,San Martino in Argine,,,
"512",village,,,Miravalle,,,
"513",village,,,Conventello,,,
"514",village,it:Porto Corsini,Q3909148,Porto Corsini,,,
"515",village,,,Santa Maria in Duno,,,
"516",village,,,Altolà,,,
"517",village,it:San Gusmè,Q1250134,San Gusmè,,,
"518",village,it:Orzignano,Q18490405,Orzignano,,,
"519",village,,,Massa Macinaia,,,
"520",village,,,Rivabella,,,
"528",village,,,San Pietro Vara,,,
"529",village,it:Vaglie,Q4007237,Le Vaglie,,,
"530",village,it:Dugliolo,Q3716123,Dugliolo,,,
"531",village,,,Pastorello,,,
"532",village,it:Rovolo,Q18441611,Rovolo,,,
"533",village,,,Scascoli,,,
"534",village,,,Rocchetta,true,"1",
"539",village,,,Farneta di Riccò,,,
"540",village,,,Villa d'Aiano,true,"1",
"541",village,it:Torrechiara,Q2154272,Torrechiara,,,
"544",village,it:Rocca Malatina,Q2491506,Rocca Malatina,true,"1",
"545",village,it:Gazzano,Q16268402,Gazzano,,,
"546",village,it:Fontanaluccia,Q2874400,Fontanaluccia,,,
"547",village,,,Madonna di Pietravolta,,,
"548",village,,,Mattarana,,,
"549",village,,,Piana Battolla,,,
"570",village,it:Marciana (Cascina),Q19060468,Marciana,,,
"571",village,it:Ghezzano,Q18785468,Ghezzano,,,
"572",village,it:Stibbio,Q16610506,Stibbio,,,
"573",village,it:Montecastello (Pontedera),Q933604,Montecastello,,,
"581",village,,Q18488915,Pascoso,,,
"582",village,,,Rasiglio - Scopeto,,,
"590",village,it:Marina Romea,Q3848073,Marina Romea,,,
"591",village,,Q26857919,Pontecchio Marconi,true,"1",
"592",village,,Q2071281,Glorie,,,
"593",village,,Q18446252,San Potito,,,
"594",village,it:Nodica,Q3877668,Nodica,,,
"595",village,it:Orentano,Q3885522,Orentano,,,
"597",village,,,Strada in Casentino,,,
"598",village,,,San Biagio,,,
"599",village,it:Belricetto,Q2293605,Belricetto,,,
"600",village,it:Godo,Q2326372,Godo,,,
"602",village,it:Villanova (Bagnacavallo),Q4012881,Villanova di Bagnacavallo,,,
"605",village,it:Le Sieci,Q3828428,Le Sieci,,,
"606",village,,Q18485653,Moggiona,,,
"609",village,it:San Casciano (Cascina),Q18490498,San Casciano,,,
"610",village,,,Villanova di Ravenna,,,
"612",village,,Q18438146,Cadriano,,,
"613",village,it:Santerno (Ravenna),Q2050009,Santerno,,,
"614",village,,Q18446150,Piangipane,,,
"615",village,,,Tresanti,,,
"616",village,,,San Rocco,,,
"617",village,,Q18508847,Badia al Pino,,,
"618",village,it:Castiglioncello,Q1244388,Castiglioncello,,,
"619",village,it:Pozzale,Q18487279,Pozzale,,,
"620",village,it:Ponte a Elsa,Q2079838,Ponte a Elsa,,,
"621",village,,Q18486512,Brusciana,,,
"622",village,,,Serravalle,,,
"623",village,,,Casenuove,,,
"624",village,,Q123984555,Pagnana,,,
"625",village,,,Vitiana,,,
"626",village,it:Avane (Empoli),Q111632706,Avane,,,
"633",village,it:Bargino,Q3634968,Bargino,,,
"634",village,it:Chiocchio,Q2072678,Chiocchio,,,
"635",village,,,Il Ferrone,,,
"636",village,it:Mercatale in Val di Pesa,Q666388,Mercatale in Val di Pesa,,,
"637",village,it:Montefioralle,Q1131395,Montefioralle,,,
"638",village,,,Montefiridolfi,,,
"639",village,it:Strada in Chianti,Q3974648,Strada in Chianti,,,
"640",village,it:Spedaletto (San Casciano in Val di Pesa),Q3966435,Spedaletto,,,
"641",village,,Q18491403,Spazzavento,,,
"642",village,it:Bacchereto,Q18491308,Bacchereto,,,
"643",village,,Q18438036,Borgatella,,,
"644",village,,Q2460647,Borgonuovo,,,
"645",village,,,Castel dei Britti,,,
"646",village,,Q18438298,Croara,,,
"647",village,,Q18438317,Farneto,,,
"648",village,,,Montecalvo,,,
"649",village,,,La Mura San Carlo,,,
"650",village,,Q18438593,Ponticella,,,
"651",village,it:Riale (Zola Predosa),Q3934207,Riale,,,
"652",village,,Q48416532,Rastignano,,,
"654",village,it:Biassa,Q2644306,Biassa,,,
"655",village,,,Valdurasca,,,
"656",village,,,Bastremoli,,,
"657",village,,,Piano di Follo,,,
"658",village,it:Cerreto Alpi,Q3665147,Cerreto Alpi,,,
"659",village,it:Cerreto Laghi,Q3665148,Cerreto Laghi,,,
"660",village,,,Bocca di Magra,,,
"661",village,it:Fiumaretta,Q18460668,Fiumaretta,,,
"662",village,it:Marinella di Sarzana,Q3848152,Marinella di Sarzana,,,
"663",village,,,Romito Magra,,,
"664",village,it:Comeana,Q3684236,Comeana,,,
"665",village,,,Mantignano,,,
"666",village,it:Poggetto,Q3907010,Poggetto,,,
"667",village,it:San Mauro a Signa,Q3947671,San Mauro,,,
"668",village,it:San Donnino (Campi Bisenzio),Q2209280,San Donnino,,,
